Date,Open,High,Low,Close,Adj Close,Volume
2014-10-04,107.050003,109.974998,106.550003,109.449997,109.449997,32925
2014-10-11,109.599998,109.800003,89.349998,90.574997,90.574997,63582
2014-10-18,90.099998,90.650002,87.724998,90.250000,90.250000,72072
2014-10-25,90.349998,90.599998,86.150002,88.025002,88.025002,80591
2014-11-01,88.275002,90.025002,86.675003,88.775002,88.775002,86881
2014-11-08,89.150002,93.199997,88.574997,92.675003,92.675003,114872
2014-11-15,93.199997,93.324997,89.900002,90.650002,90.650002,61475
2014-11-22,91.199997,92.375000,89.699997,90.324997,90.324997,33120
2014-11-29,90.099998,90.599998,86.599998,86.599998,86.599998,47394
2014-12-06,87.000000,87.650002,86.449997,87.525002,87.525002,29411
2014-12-13,83.574997,83.849998,78.675003,81.900002,81.900002,65942
2014-12-20,82.150002,82.375000,80.125000,81.550003,81.550003,39772
2014-12-27,82.099998,82.474998,80.824997,81.300003,81.300003,45586
2015-01-03,81.625000,81.650002,77.800003,79.025002,79.025002,103944
2015-01-10,78.750000,78.750000,74.150002,74.500000,74.500000,122474
2015-01-17,74.250000,74.300003,68.849998,69.300003,69.300003,54411
2015-01-24,69.699997,72.400002,67.349998,67.474998,67.474998,49239
2015-01-31,67.599998,67.974998,62.849998,63.875000,63.875000,31817
2015-02-07,63.875000,63.875000,61.099998,62.075001,62.075001,33596
2015-02-14,66.525002,68.849998,63.224998,67.400002,67.400002,79627
2015-02-21,67.775002,69.900002,66.199997,67.474998,67.474998,100311
2015-02-28,68.400002,68.849998,64.150002,66.125000,66.125000,111682
2015-03-07,66.000000,66.400002,61.125000,62.099998,62.099998,121708
2015-03-14,61.549999,63.049999,57.775002,58.450001,58.450001,74893
2015-03-21,58.775002,61.650002,57.799999,61.125000,61.125000,43198
2015-03-28,60.500000,63.424999,60.250000,63.174999,63.174999,27959
2015-04-04,63.400002,63.700001,62.049999,62.549999,62.549999,20579
2015-04-11,62.799999,71.349998,62.750000,70.525002,70.525002,7771
2015-04-18,70.800003,72.324997,69.574997,71.949997,71.949997,1727
2015-04-25,72.050003,77.925003,71.800003,76.000000,76.000000,3183
2015-05-02,76.500000,81.199997,76.500000,80.849998,80.849998,2281
2015-05-09,80.849998,84.099998,80.625000,83.349998,83.349998,33494
2015-05-16,83.099998,84.300003,81.300003,83.724998,83.724998,68731
2015-05-23,83.824997,85.125000,82.849998,83.824997,83.824997,46398
2015-05-30,84.175003,84.849998,81.574997,81.675003,81.675003,42657
2015-06-06,82.175003,82.400002,81.050003,81.449997,81.449997,31300
2015-06-13,77.949997,78.425003,75.449997,75.750000,75.750000,61716
2015-06-20,75.300003,75.800003,73.150002,75.449997,75.449997,37077
2015-06-27,75.474998,79.150002,73.800003,78.775002,78.775002,30143
2015-07-04,79.250000,80.175003,78.375000,78.974998,78.974998,25530
2015-07-11,79.250000,80.525002,75.025002,75.675003,75.675003,47551
2015-07-18,75.800003,78.824997,74.574997,77.675003,77.675003,68132
2015-07-25,77.324997,81.375000,76.875000,78.500000,78.500000,53412
2015-08-01,79.050003,81.574997,77.275002,77.324997,77.324997,40336
2015-08-08,77.849998,79.125000,76.199997,78.824997,78.824997,32101
2015-08-15,65.849998,66.775002,62.625000,62.825001,62.825001,68265
2015-08-22,61.700001,67.849998,61.599998,66.425003,66.425003,83171
2015-08-29,66.675003,69.974998,66.400002,69.150002,69.150002,79781
2015-09-05,69.500000,69.500000,67.099998,67.324997,67.324997,77973
2015-09-12,67.400002,71.324997,66.349998,71.050003,71.050003,91662
2015-09-19,71.125000,72.349998,70.050003,71.875000,71.875000,39136
2015-09-26,72.324997,74.500000,71.150002,73.349998,73.349998,32707
2015-10-03,73.625000,74.375000,72.675003,73.824997,73.824997,20335
2015-10-10,74.275002,75.199997,65.250000,65.574997,65.574997,48883
2015-10-17,65.375000,68.824997,63.450001,63.599998,63.599998,108787
2015-10-24,63.625000,64.500000,59.025002,59.200001,59.200001,104093
2015-10-31,59.000000,59.424999,53.924999,55.000000,55.000000,110870
2015-11-07,55.025002,57.150002,52.799999,54.799999,54.799999,122672
2015-11-14,55.174999,57.799999,51.799999,57.450001,57.450001,72352
2015-11-21,57.674999,59.000000,56.500000,58.724998,58.724998,26551
2015-11-28,58.900002,60.099998,56.750000,57.049999,57.049999,41243
2015-12-05,56.724998,56.849998,54.724998,56.000000,56.000000,23824
2015-12-12,56.025002,60.125000,54.950001,56.625000,56.625000,70752
2015-12-19,56.974998,59.349998,56.349998,58.299999,58.299999,33317
2015-12-26,58.549999,60.075001,58.400002,59.799999,59.799999,39936
2016-01-02,59.875000,61.500000,58.075001,59.849998,59.849998,93477
2016-01-09,59.625000,62.674999,58.875000,62.025002,62.025002,97181
2016-01-16,62.825001,64.050003,62.049999,63.000000,63.000000,40367
2016-01-23,63.549999,66.125000,62.924999,65.800003,65.800003,28927
2016-01-30,66.099998,66.099998,64.125000,64.800003,64.800003,21485
2016-02-06,65.275002,65.974998,64.599998,65.949997,65.949997,34723
2016-02-13,70.175003,72.224998,68.349998,68.900002,68.900002,72677
2016-02-20,68.800003,71.849998,68.349998,70.849998,70.849998,78055
2016-02-27,70.474998,71.375000,69.125000,70.800003,70.800003,73590
2016-03-05,70.849998,72.875000,69.275002,71.824997,71.824997,111539
2016-03-12,71.675003,71.925003,69.974998,71.449997,71.449997,52266
2016-03-19,70.949997,70.949997,69.250000,69.625000,69.625000,37637
2016-03-26,69.750000,71.675003,67.250000,67.800003,67.800003,34037
2016-04-02,68.125000,68.150002,66.775002,66.824997,66.824997,21124
2016-04-09,66.875000,74.449997,66.324997,74.400002,74.400002,8547
2016-04-16,74.500000,77.925003,73.849998,75.699997,75.699997,1670
2016-04-23,75.675003,77.974998,73.449997,77.900002,77.900002,1701
2016-04-30,77.900002,78.574997,76.500000,76.800003,76.800003,1422
2016-05-07,77.224998,77.224998,75.974998,76.849998,76.849998,16434
2016-05-14,82.150002,83.275002,79.699997,79.849998,79.849998,60774
2016-05-21,79.800003,81.000000,78.625000,80.525002,80.525002,40313
2016-05-28,80.750000,82.574997,80.025002,82.300003,82.300003,26597
2016-06-04,82.324997,82.949997,81.599998,82.275002,82.275002,17695
2016-06-11,82.250000,88.824997,81.599998,86.175003,86.175003,49864
2016-06-18,86.125000,86.900002,83.625000,84.050003,84.050003,33031
2016-06-25,83.300003,83.750000,82.099998,82.675003,82.675003,24708
2016-07-02,82.750000,83.650002,80.000000,80.050003,80.050003,19990
2016-07-09,80.550003,80.599998,79.574997,80.000000,80.000000,21398
2016-07-16,78.250000,78.574997,73.824997,75.275002,75.275002,55877
2016-07-23,75.900002,75.925003,68.699997,68.974998,68.974998,44025
2016-07-30,69.650002,69.650002,67.349998,67.449997,67.449997,23961
2016-08-06,67.599998,67.699997,66.824997,67.150002,67.150002,26054
2016-08-13,60.625000,63.250000,59.275002,61.924999,61.924999,79856
2016-08-20,62.200001,63.025002,58.375000,61.325001,61.325001,66013
2016-08-27,61.424999,63.849998,60.525002,60.750000,60.750000,73595
2016-09-03,60.125000,62.049999,58.500000,59.224998,59.224998,84643
2016-09-10,59.924999,61.974998,54.549999,55.474998,55.474998,130762
2016-09-17,55.724998,56.450001,53.700001,54.000000,54.000000,52007
2016-09-24,53.825001,54.250000,49.025002,49.025002,49.025002,39445
2016-10-01,49.275002,51.724998,47.625000,50.674999,50.674999,31023
2016-10-08,51.150002,52.775002,50.325001,52.599998,52.599998,31287
2016-10-15,42.474998,42.724998,40.700001,41.849998,41.849998,74436
2016-10-22,43.000000,47.075001,42.775002,46.799999,46.799999,85334
2016-10-29,46.825001,48.150002,45.099998,46.150002,46.150002,98091
2016-11-05,46.375000,48.750000,45.549999,47.125000,47.125000,137702
2016-11-12,47.075001,48.275002,45.424999,47.799999,47.799999,85739
2016-11-19,47.900002,51.375000,47.775002,51.049999,51.049999,43196
2016-11-26,51.099998,51.700001,49.950001,50.750000,50.750000,46330
2016-12-03,51.200001,57.099998,51.150002,56.724998,56.724998,41332
2016-12-10,57.000000,64.949997,56.799999,64.699997,64.699997,56465
2016-12-17,64.724998,66.574997,62.275002,63.200001,63.200001,86323
2016-12-24,62.500000,66.349998,62.150002,66.150002,66.150002,57393
2016-12-31,66.400002,66.900002,63.224998,63.974998,63.974998,72533
2017-01-07,64.125000,66.224998,62.549999,65.599998,65.599998,125589
2017-01-14,65.949997,66.675003,64.525002,65.300003,65.300003,50002
2017-01-21,65.349998,68.000000,64.324997,66.900002,66.900002,44811
2017-01-28,67.250000,70.650002,66.925003,70.324997,70.324997,40912
2017-02-04,70.275002,74.974998,70.275002,74.550003,74.550003,28058
2017-02-11,74.675003,75.199997,69.750000,70.775002,70.775002,69981
2017-02-18,71.250000,71.574997,66.025002,68.025002,68.025002,89332
2017-02-25,68.250000,69.625000,66.574997,66.750000,66.750000,102705
2017-03-04,67.275002,68.974998,66.800003,68.175003,68.175003,113834
2017-03-11,68.400002,71.275002,68.074997,69.050003,69.050003,88846
2017-03-18,69.125000,69.625000,67.125000,67.275002,67.275002,61845
2017-03-25,67.050003,67.074997,64.675003,65.675003,65.675003,29541
2017-04-01,65.550003,65.974998,63.224998,63.325001,63.325001,20898
2017-04-08,63.500000,63.525002,62.150002,62.450001,62.450001,12571
2017-04-15,62.150002,67.900002,61.875000,63.025002,63.025002,1963
2017-04-22,62.799999,67.625000,62.799999,66.974998,66.974998,2220
2017-04-29,67.000000,69.500000,66.025002,69.400002,69.400002,1565
2017-05-06,69.250000,72.099998,69.250000,71.900002,71.900002,18890
2017-05-13,78.050003,79.949997,76.425003,79.500000,79.500000,65882
2017-05-20,79.074997,81.875000,78.650002,81.824997,81.824997,32235
2017-05-27,81.650002,82.675003,80.400002,81.224998,81.224998,26398
2017-06-03,81.099998,82.599998,80.449997,82.474998,82.474998,21960
2017-06-10,82.300003,83.449997,80.724998,82.324997,82.324997,50991
2017-06-17,82.974998,86.400002,82.875000,85.300003,85.300003,60621
2017-06-24,85.675003,90.849998,85.550003,90.625000,90.625000,34699
2017-07-01,91.050003,92.574997,90.050003,91.724998,91.724998,16830
2017-07-08,91.925003,92.824997,91.324997,92.599998,92.599998,13041
2017-07-15,92.550003,92.574997,79.900002,81.099998,81.099998,79820
2017-07-22,80.724998,82.699997,80.074997,81.400002,81.400002,38200
2017-07-29,81.025002,83.324997,79.599998,83.224998,83.224998,44174
2017-08-05,83.625000,84.750000,83.074997,84.650002,84.650002,24219
2017-08-12,84.550003,84.650002,65.425003,66.125000,66.125000,106185
2017-08-19,65.500000,65.699997,62.625000,63.075001,63.075001,103740
2017-08-26,62.775002,63.000000,59.825001,61.450001,61.450001,115320
2017-09-02,62.075001,64.449997,61.075001,62.150002,62.150002,107344
2017-09-09,61.825001,62.275002,58.250000,60.974998,60.974998,156669
2017-09-16,60.375000,60.875000,55.674999,55.700001,55.700001,99127
2017-09-23,55.599998,56.900002,54.924999,55.400002,55.400002,52171
2017-09-30,55.849998,61.750000,55.650002,59.174999,59.174999,52696
2017-10-07,59.325001,61.500000,58.849998,60.400002,60.400002,25991
2017-10-14,62.500000,64.925003,61.974998,64.849998,64.849998,99569
2017-10-21,64.900002,65.550003,62.950001,64.449997,64.449997,94351
2017-10-28,64.449997,68.175003,64.324997,65.099998,65.099998,127272
2017-11-04,65.074997,65.150002,62.150002,62.474998,62.474998,140205
2017-11-11,62.575001,62.924999,59.250000,60.650002,60.650002,112894
2017-11-18,60.825001,63.674999,60.575001,63.250000,63.250000,34814
2017-11-25,63.674999,66.300003,63.599998,65.275002,65.275002,42623
