time,open,high,low,close,tick_volume,spread,real_volume
2005-12-01,1.729,1.7345000000000002,1.7261,1.7318,10300,40,0
2005-12-02,1.7319,1.7381,1.7248,1.7328999999999999,10042,40,0
2005-12-05,1.7316,1.7446000000000002,1.7271,1.7421,9930,40,0
2005-12-06,1.742,1.7454,1.7311999999999999,1.7405,9913,40,0
2005-12-07,1.7404,1.7431,1.7290999999999999,1.7337,9761,40,0
2005-12-08,1.7337,1.7562,1.7322,1.7525,10588,40,0
2005-12-09,1.7525,1.7568000000000001,1.7461,1.7543,9773,40,0
2005-12-12,1.7507000000000001,1.7776,1.7502,1.7751000000000001,10298,40,0
2005-12-13,1.7751000000000001,1.7782,1.7652999999999999,1.7697,10112,40,0
2005-12-14,1.7696,1.7811,1.7684,1.7729,10669,40,0
2005-12-15,1.7726,1.7748,1.7612999999999999,1.7652,10896,40,0
2005-12-16,1.7648000000000001,1.7739,1.7626,1.7719,10452,40,0
2005-12-19,1.7692999999999999,1.7732999999999999,1.7591,1.7626,9776,40,0
2005-12-20,1.7625,1.7686,1.7525,1.7541,10495,40,0
2005-12-21,1.7541,1.7595,1.7381,1.7452999999999999,10548,40,0
2005-12-22,1.7452999999999999,1.7461,1.7338,1.7378,10253,40,0
2005-12-23,1.7377,1.7405,1.7305000000000001,1.7335,9200,40,0
2005-12-26,1.7332999999999998,1.7379,1.7311999999999999,1.7332999999999998,5863,40,0
2005-12-27,1.7330999999999999,1.7386,1.7264,1.7271,8416,40,0
2005-12-28,1.7269999999999999,1.7410999999999999,1.7128999999999999,1.718,10585,40,0
2005-12-29,1.7179,1.7283,1.7167,1.7246000000000001,9900,40,0
2005-12-30,1.7246000000000001,1.7297,1.7165,1.7229,10076,40,0
2006-01-02,1.7223000000000002,1.7248999999999999,1.7189,1.7194,6087,30,0
2006-01-03,1.7194,1.7467000000000001,1.7187000000000001,1.7464,10720,30,0
2006-01-04,1.7464,1.7619,1.7458,1.7557,11093,30,0
2006-01-05,1.7555,1.7589000000000001,1.7485,1.7547000000000001,10458,30,0
2006-01-06,1.7547000000000001,1.7723,1.7511999999999999,1.7694999999999999,10058,30,0
2006-01-09,1.7681,1.7727,1.7627000000000002,1.7654,10236,30,0
2006-01-10,1.7651,1.7703,1.7614999999999998,1.7633,10818,30,0
2006-01-11,1.7633,1.7671999999999999,1.7517,1.7662,10779,30,0
2006-01-12,1.7661,1.7728000000000002,1.7576,1.7608000000000001,10883,30,0
2006-01-13,1.7607,1.7784,1.7593,1.7747000000000002,9987,30,0
2006-01-16,1.7767,1.7799,1.764,1.7669000000000001,9757,30,0
2006-01-17,1.7669000000000001,1.7703,1.7586,1.7685,9976,30,0
2006-01-18,1.7685,1.7707000000000002,1.7585,1.7631000000000001,10570,30,0
